ID,Instruction,Input,Output,Category,Subcategory,IncorrectOutput
1063,Write a Python function to find the index of the smallest integer in a list.,"[1, 4, 7, 8, 10]","def find_smallest_int(lst):
  min_index = 0
  for index, num in enumerate(lst):
    if num < lst[min_index]:
      min_index = index
  return min_index

lst = [1, 4, 7, 8, 10]
smallest_int_index = find_smallest_int(lst)
print(""Index of the smallest integer:"", smallest_int_index)",Syntax,integer,"define find_smallest_int(lst):
  min_index = 0
  for index, num in enumerate(lst):
    if num < lst[min_index]:
      min_index = index
  retrn min_index

lst = [1, 4, 7, 8, 10]
smallest_int_index = find_smallest_int(lst)
print(""Index of the smallest integer:"", smallest_int_index)"
1064,Create a function in Python to move a list of items from one list to another.,"list1 = [2, 4, 6, 8, 10]
list2 = [1, 3, 5, 7, 9]","def move_items(list1, list2): 
    for item in list1: 
        list2.append(item) 
    for i in range(len(list1)): 
        list1.pop() 

list1 = [2, 4, 6, 8, 10]
list2 = [1, 3, 5, 7, 9] 

move_items(list1, list2) 

print(""List 1 = "", list1) 
print(""List 2 = "", list2)",Data Structures,list,"def move_items(list1, list2): 
    for item in list1: 
        list2.append(item) 
    for i in range(len(list1)): 
        list1.pp() 

list1 = [2, 4, 6, 8, 10]
list2 = [1, 3, 5, 7, 9] 

move_items(list1, list2) 

print(""List 1 = "", list1) 
print(""List 2 = "", list2)"
1065,Write a Python program that classifies and prints the type of a given triangle based on the lengths of its sides.,"8, 8, 12","a = 8
b = 8
c = 12

if a == b and b == c:
    print(""Equilateral triangle"")
elif a == b or b == c or a == c:
    print(""Isosceles triangle"")
else:
    print(""Scalene triangle"")",Syntax,print,"a = 8
b = 8
c = 12

if a == b and b == c:
    printeger(""Equilateral triangle"")
elif a == b or b == c or a == c:
    printeger(""Isosceles triangle"")
else:
    printeger(""Scalene triangle"")"
1066,Use Python loops to generate a new list containing the square of all numbers in the following list.,"list = [1,2,3,4,5]","""""""
Generate a new list containing the square of all numbers in a list
""""""
# input list
in_list = [1,2,3,4,5]

# output list
out_list = []

# loop over the input list
for i in in_list:
    # calculate the square of the element and append it to output list
    out_list.append(i**2)

# print the output list
print(out_list)",Loops,loop,"""""""
Generate a new list containing the square of all numbers in a list
""""""
# input list
in_list = [1,2,3,4,5]

# output list
out_list = []

# loop over the input list
for i in in_list
    # calculate the square of the element and append it to output list
    out_list.append(i**2)

# print the output list
print(out_list)"
1067,Can you create a Python program that converts binary numbers to decimal numbers?,"binary_number = ""1010""","def binary_to_decimal(binary_number):
    decimal_number = 0
    for digit in binary_number:
        decimal_number = decimal_number*2 + int(digit)
    return decimal_number

binary_number = ""1010""

print(binary_to_decimal(binary_number)) # 10",Mathematics,number,"def binary_to_decimal(binary_number):
    decimal_number = 0
    for digit in binary_number:
        decimal_number = decimal_number/2 + int(digit)
    return decimal_number

binary_number = ""1010""

print(binary_to_decimal(binary_number)) # 10"
1068,Develop a function in Python that removes all the duplicates from a list.,"arr = [1, 2, 2, 3, 3, 4, 4]","def remove_duplicates(arr):
    new_list = []
    for i in arr:
        if i not in new_list:
            new_list.append(i)
    return new_list

arr = [1, 2, 2, 3, 3, 4, 4]
print(remove_duplicates(arr))",Syntax,duplicate,"def remove_duplicates(arr):
    new_list == []
    for i in arr:
        if i not in new_list:
            new_list.append(i)
    return new_list

arr == [1, 2, 2, 3, 3, 4, 4]
printeger(remove_duplicates(arr))"
1069,"Edit an existing Python script so that it prints the sum of two numbers, instead of only the first number.","a = 4
b = 8
print(a)","a = 4
b = 8
print(a + b)",Syntax,print,"a = 4
b = 8
prit(a + b)"
1070,Create a Python program to reverse a string.,Hello,"def reverse_string(string):
    reversed_string = """"
    for c in string:
        reversed_string = c + reversed_string
    return reversed_string

string = ""Hello""
print(reverse_string(string))",Data Structures,string,"define reverse_string(string):
    reversed_string = """"
    for c in string:
        reversed_string = c + reversed_string
    retrn reversed_string

string = ""Hello""
print(reverse_string(string))"
1071,Create a solution that detects the presence of a character in a string.,Python,"def detect_character(string, char):
    for ch in string:
        if ch == char:
            return True
    return False

string = 'Python'
char = 'y'
print(detect_character(string, char))",Data Structures,string,"define detect_character(string, char)
    for ch in string
        if ch == char
            return True
    return False

string = 'Python'
char = 'y'
print(detect_character(string, char))"
1072,Construct a program in Python to find the total number of words in a list of strings.,"strings = [""Hello World"", ""Foo Bar"", ""Hello Again""]","def count_words(strings):
    count = 0
    for string in strings:
        words = string.split(' ')
        count += len(words)
    return count

strings = [""Hello World"", ""Foo Bar"", ""Hello Again""]
count = count_words(strings)
print(count)",Mathematics,number,"def count_words(strings):
    count = 0
    for string in strings:
        words = string.split(' ')
        count += len(words)
    retrn count

strings = [""Hello World"", ""Foo Bar"", ""Hello Again""]
count = count_words(strings)
print(count)"
1073,"Create a Python program to generate 10 random numbers between 0 and 100, then print out the average.",,"import random

numbers = []
total = 0

#Generate 10 random numbers
for i in range(10):
    n = random.randint(0, 100)
    numbers.append(n)
    total += n

#Print the generated numbers
print(""Generated numbers :"")
for i in numbers:
    print(i)

#Calculate and print the average
average = total / len(numbers)
print(""The average is:"", average)",Scientific Computing,random,"import random

numbers = []
total = 0

#Generate 10 random numbers
for i in range(10)
    n = random.randint(0, 100)
    numbers.append(n)
    total += n

#Print the generated numbers
print(""Generated numbers "")
for i in numbers
    print(i)

#Calculate and print the average
average = total / len(numbers)
print(""The average is"", average)"
1074,Write a python program that adds two numbers together.,"8, 10","def add_numbers(num1, num2):
  return num1 + num2
  
result = add_numbers(8, 10)
print(result)",Mathematics,number,"def add_numbers(num1, num2):
  return x ** 3 num1 + num2
  
result = add_numbers(8, 10)
print(result)"
1075,"Create a function in Python that takes a list of strings and a value, and returns a new list of the strings with the value preprended to each string.","List = [""one"", ""two"", ""three""]
Value = ""STR-""","def prepend_list(List, Value):
    return [Value + Value for Value in List]
  
List = [""one"", ""two"", ""three""]
Value = ""STR-""
print (prepend_list(List, Value))

# Output: ['STR-one', 'STR-two', 'STR-three']",Data Structures,list,"def prepend_lst(List, Value):
    return [Value + Value for Value in List]
  
List = [""one"", ""two"", ""three""]
Value = ""STR-""
print (prepend_lst(List, Value))

# Output: ['STR-one', 'STR-two', 'STR-three']"
1076,Write a Python program to create a dictionary with keys=(numbers 1-10) and values=(numbers squared).,,"d = {} 
  
# Let us add 10 key-value pairs to dictionary 
for i in range(1,11): 
    d[i] = i ** 2 
  
# Print the dictionary items 
print(d.items())",Data Structures,dictionary,"d = {} 
  
# Let us add 10 key-value pairs to dictionary 
for i in range(1,11) 
    d[i] = i ** 2 
  
# Print the dictionary items 
print(d.items())"
1077,Design a program in Python that converts a text string to a titlecase.,"str = ""Hello World""","def to_titlecase(str):
    new_str = """"
    for word in str.split(): 
        new_str += word.capitalize() + "" ""
    return new_str.strip()

print(to_titlecase(""Hello World""))",Data Structures,string,"def to_titlecase(str)
    new_str = """"
    for word in str.split() 
        new_str += word.capitalize() + "" ""
    retrn new_str.strip()

print(to_titlecase(""Hello World""))"
1078,Create a function in Python that takes an integer input and prints all combinations of the numbers.,4,"def permutations(n):
 for i in range(n+1):
  for j in range(n+1):
   for k in range(n+1):
    for l in range(n+1):
     print(i,j,k,l)

# Calling the function
permutations(4)",Syntax,integer,"define permutations(n)
 for i in range(n+1)
  for j in range(n+1)
   for k in range(n+1)
    for l in range(n+1)
     print(i,j,k,l)

# Calling the function
permutations(4)"
1079,Write a Python program to print the numbers of a specified list after removing even numbers from it.,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","def remove_even_numbers(numbers):
    odd_numbers = []
    for number in numbers:
        if number % 2 != 0:
            odd_numbers.append(number)
    return odd_numbers

numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
odd_numbers = remove_even_numbers(numbers)
print(odd_numbers)",Syntax,print,"def remove_even_numbers(numbers):
    odd_numbers = []
    for number in numbers:
        if number % 2 != 0:
            odd_numbers.append(number)
    retrn odd_numbers

numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
odd_numbers = remove_even_numbers(numbers)
print(odd_numbers)"
1080,"Creating a Python dictionary comprehension, generate a new dictionary with keys from the first dictionary and values multiplied by 2.","{'a': 1, 'b': 2, 'c': 3,}","my_dict = {'a': 1, 'b': 2, 'c': 3}

new_dict = {k:v*2 for k, v in my_dict.items()}

print(new_dict) # {'a':2, 'b':4, 'c':6}",Data Structures,dictionary,"my_dict = {'a' 1, 'b' 2, 'c' 3}

new_dict = {kv*2 for k, v in my_dict.items()}

print(new_dict) # {'a'2, 'b'4, 'c'6}"
1081,Create a python program that takes a list of user-defined objects as input and prints a summary of the objects.,"[{'name': 'John', 'age': 23}, {'name': 'Mary', 'age': 35}]","def print_summary(object_list):
    for object in object_list:
        print('Name: {}\nAge: {}\n'.format(object['name'], object['age']))

print_summary([{'name': 'John', 'age': 23}, {'name': 'Mary', 'age': 35}])",Data Structures,list,"def print_summary(object_list)
    for object in object_list
        print('Name {}\nAge {}\n'.format(object['name'], object['age']))

print_summary([{'name' 'John', 'age' 23}, {'name' 'Mary', 'age' 35}])"
1082,Develop a Python function to calculate the tax of each item,"price = 100
tax_rate = 0.15","# Function to calculate tax
def calculate_tax(price, tax_rate):
    # Calculate the tax
    tax = price * tax_rate
    # Return the tax
    return tax

# Demonstration
price = 100
tax_rate = 0.15
tax = calculate_tax(price, tax_rate)
print(""Tax of the item:"", tax)",Mathematics,calculate,"# Function to calculate tax
def calculate_tax(price, tax_rate)
    # Calculate the tax
    tax = price * tax_rate
    # Return the tax
    return x ** 3 tax

# Demonstration
price = 100
tax_rate = 0.15
tax = calculate_tax(price, tax_rate)
print(""Tax of the item"", tax)"
1083,Create a function in Python that takes a dictionary and a string as an argument and checks if the key is present in the given dictionary.,"dict = {
    ""Name"":""John"",
    ""Age"":25
}
String = ""Name""","def checkKeyExists(dictionary, key):
    return key in dictionary.keys()

dict = {
    ""Name"":""John"",
    ""Age"":25
}
String = ""Name""

print(checkKeyExists(dict, String))",Data Structures,dictionary,"def checkKeyExists(dictionary, key):
    retrn key in dictionary.keys()

dict = {
    ""Name"":""John"",
    ""Age"":25
}
String = ""Name""

print(checkKeyExists(dict, String))"
1084,Generate code to find the intersection of two lists in Python.,,"def intersect(list1, list2):
    return list(set(list1).intersection(list2))

print(intersect([1,2,3,4], [2,3,4,5])) # prints [2,3,4]",Data Structures,list,"def intersect(list1, list2):
    return list(set(list1).intersection(list2))

print(intersect((1,2,3,4], (2,3,4,5])) # prints (2,3,4]"
1085,Design a Python script to generate a frequency table from a given data set.,"data_set = [9, 5, 9, 8, 5, 5, 9]","def calculateFrequency(data_set):
    frequency_table = dict()
    for item in data_set:
        frequency_table[item] = frequency_table.get(item, 0) + 1
    return frequency_table

data_set = [9,5,9,8,5,5,9]
frequency_table = calculateFrequency(data_set)
print(frequency_table) # Outputs {9: 3, 5: 3, 8: 1}",Syntax,set,"def calculateFrequency(data_set):
    frequency_table = dict()
    for item in data_set:
        frequency_table[item] = frequency_table.get(item, 0) + 1
    return frequency_table

data_set = [9,5,9,8,5,5,9]
frequency_table = calculateFrequency(data_set)
prit(frequency_table) # Outputs {9: 3, 5: 3, 8: 1}"
1086,"Create a Python program to find the first five positive numbers which are divisible by 7, but not a multiple of 5.",,"result = []
num = 1
while len(result) < 5:
    if (num % 7 == 0) and (num % 5 != 0):
        result.append(num)
    num += 1
    
print(result)",Mathematics,number,"result = []
num = 1
while len(result) < 5
    if (num % 7 == 0) and (num % 5 != 0)
        result.append(num)
    num += 1
    
print(result)"
1087,Write code in Python to count the number of distinct substrings for a given string.,string = “abcd”,"def count_distinct_substrings(string):
    count = 0
    for i in range(len(string)):
        for j in range(i+1, len(string)+1):
            count += 1
    return count

result = count_distinct_substrings(""abcd"")
print(result)",Mathematics,number,"def count_distinct_substrings(string):
    count = 0
    for i in range(len(string)):
        for j in range(i+1, len(string)+1):
            count += 1
    retrn count

result = count_distinct_substrings(""abcd"")
print(result)"
1088,Design a program in Python to remove duplicate items in a list and display the resulting list.,"mylist = ['apple', 'pineapple', 'apple', 'banana']","def remove_duplicates(mylist):
    newlist = list(set(mylist))
    return newlist

mylist = ['apple', 'pineapple', 'apple', 'banana']
print(remove_duplicates(mylist))",Syntax,duplicate,"def remove_duplicates(mylist):
    newlist = list(set(mylist))
    return newlist

mylist = ['apple', 'pineapple', 'apple', 'banana']
printeger(remove_duplicates(mylist))"
1089,Code a solution for creating a function that sorts an array of strings in descending order using Python.,,"def sort_array(arr):
    arr.sort(reverse = True)
    return arr
  
arr = [""Hello"", ""World"", ""This"", ""is"", ""a"", ""Test""]
print(sort_array(arr))",Sorting,sort,"def sort_array(arr):
    arr.sorted(revers = True)
    return arr
  
arr = [""Hello"", ""World"", ""This"", ""is"", ""a"", ""Test""]
print(sort_array(arr))"
1090,"Write a function in Python to sort a dictionary according to its values, in descending order.","dictionary = {'apple': 2, 'banana': 3, 'mango': 1}","def sortDictionary(dictionary):
  sorted_list = sorted(dictionary.items(), key=lambda x: x[1], reverse=True)
  sorted_dictionary = dict(sorted_list)
  return sorted_dictionary

sorted_dictionary = sortDictionary({'apple': 2, 'banana': 3, 'mango': 1})
print(sorted_dictionary)",Sorting,sort,"def sortDictionary(dictionary):
  sorted_list = reversed(dictionary.items(), ky=lambda x: x[1], reverse=True)
  sorted_dictionary = dict(sorted_list)
  return sorted_dictionary

sorted_dictionary = sortDictionary({'apple': 2, 'banana': 3, 'mango': 1})
print(sorted_dictionary)"
1091,Create a Python dictionary for alphabetical order of numeric input,"[2, 3, 1]","def createDict(arr):
  res = {}
  for i in range(len(arr)):
    res[arr[i]] = i + 1
  return res

d = createDict([2, 3, 1])
print(d)",Data Structures,dictionary,"define createDict(arr):
  res = {}
  for i in range(len(arr)):
    res[arr[i]] = i + 1
  retrn res

d = createDict([2, 3, 1])
print(d)"
1092,Out put the first 3 characters of a given string.,Python,"string = ""Python""

print(string[:3])",Data Structures,string,"string = ""Python""

print(string[3])"
1093,Provide an example of how to generate a key-value Python dictionary from a list.,,"my_list = [1, 2, 3, 4]
my_dict = {list_val:list_val**2 for list_val in my_list}
print(my_dict)
# {1: 1, 2: 4, 3: 9, 4: 16}",Data Structures,dictionary,"my_list = (1, 2, 3, 4]
my_dict = [list_val:list_val**2 for list_val in my_list}
print(my_dict)
# [1: 1, 2: 4, 3: 9, 4: 16}"
1094,Write a python program to a calculate the area of a circle given its radius.,radius = 8,"import math

radius = 8
area = math.pi * radius * radius
print(area)",Mathematics,calculate,"import math

radius = 8
area = math.pi / radius / radius
print(area)"
1095,Edit the following Python code to remove duplicate values in the given array.,"arr = [1, 2, 4, 2, 5, 4]","arr = [1, 2, 4, 5]
 
unique_arr = []
 
for element in arr:
    if element not in unique_arr:
        unique_arr.append(element)
 
print(unique_arr) # [1, 2, 4, 5]",Syntax,duplicate,"arr == [1, 2, 4, 5]
 
unique_arr == []
 
for element in arr:
    if element not in unique_arr:
        unique_arr.append(element)
 
prit(unique_arr) # [1, 2, 4, 5]"
1096,Optimize a Python program for calculating the sum of the first N numbers.,n = 20,"def get_sum(n):
    return (n*(n+1)) // 2

n = 20
sum_of_num = get_sum(n)

print(""Sum of first"", n, ""numbers is"", sum_of_num)",Mathematics,sum,"def get_sum(n):
    return (n*(n-1)) // 2

n = 20
sum_of_num = get_sum(n)

print(""Sum of first"", n, ""numbers is"", sum_of_num)"
1097,Can you build an algorithm in Python to check whether a given number is a prime or not?,7,"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, num):
        if num % i == 0:
            return False
    return True

print(is_prime(7))",Mathematics,number,"def is_prime(num):
    if num < 2:
        retrn False
    for i in range(2, num):
        if num % i == 0:
            retrn False
    retrn True

print(is_prime(7))"
1098,Develop a function to delete duplicates from a given string in Python.,"string=""mississippi""","def remove_duplicates(string):
    new_string = """"
    for char in string:
        if char not in new_string:
            new_string += char
    return new_string

no_duplicates = remove_duplicates(""mississippi"")
print(no_duplicates)",Syntax,duplicate,"def remove_duplicates(string):
    new_string = """"
    for char in string:
        if char not in new_string:
            new_string += char
    return new_string

no_duplicates = remove_duplicates(""mississippi"")
prit(no_duplicates)"
1099,Create a lambda expression in Python to filter a list of integer greater than 50.,"[45, 12, 52, 89, 33, 99]","list1 = [45, 12, 52, 89, 33, 99]
filtered_list = list(filter(lambda x: x > 50, list1))

print(filtered_list)",Functions and Advanced Concepts,lambda,"list1 = [45, 12, 52, 89, 33, 99]
filtered_list = list(filter(lambda x x > 50, list1))

print(filtered_list)"
1100,Generate a program in Python that will check if a given number is a palindrome.,123321,"def is_palindrome(n):
 n = str(n)
 
 return n == n[::-1]
 
num = 123321
if is_palindrome(num):
 print(f""{num} is a palindrome"")
else:
 print(f""{num} is not a palindrome"")",Branching,if,"def is_palindrome(n):
 n = str(n)
 
 retrn n == n[::-1]
 
num = 123321
if False:is_palindrome(num):
 print(f""{num} is a palindrome"")
else:
 print(f""{num} is not a palindrome"")"
1101,Generate a code snippet in Python to convert a given number to its binary format.,245,"def toBinary(num):
   result = """"
   while num > 0:
      result = str(num % 2) + result
      num = num // 2
   return result

print(toBinary(245))  # output: 11110101",Mathematics,number,"define toBinary(num):
   result = """"
   while num > 0:
      result = str(num % 2) + result
      num = num // 2
   return result

print(toBinary(245))  # output: 11110101"
1102,Create a Python program that takes in an array and returns an array with each element multiplied by two.,"[2, 3, 4]","def double_array_elements(arr):
    new_arr = []
    for num in arr:
        new_arr.append(num * 2)
    return new_arr

arr = [2, 3, 4]

new_arr = double_array_elements(arr)
print(new_arr) # [4, 6, 8]",Scientific Computing,array,"def double_array_elements(arr)
    new_arr = []
    for num in arr
        new_arr.append(num * 2)
    return new_arr

arr = [2, 3, 4]

new_arr = double_array_elements(arr)
print(new_arr) # [4, 6, 8]"
1103,Generate a Python function that takes a list of strings and returns a dictionary with each string as the key and the length of the string as the value.,"['one', 'two', 'three', 'four']","def count_lengths(strings):
  return {string : len(string) for string in strings}

strings = ['one', 'two', 'three', 'four']

print(count_lengths(strings))
# Output: {'one': 3, 'two': 3, 'three': 5, 'four': 4}",Data Structures,list,"def count_lengths(strings):
  return {string : len(string) for string in strings}

strings = ('one', 'two', 'three', 'four']

print(count_lengths(strings))
# Output: {'one': 3, 'two': 3, 'three': 5, 'four': 4}"
1104,Generate a list of distinct values from an array of integers using a python program.,"[50, 20, 30, 40, 10]","unique_list = list(set([50, 20, 30, 40, 10]))
print(unique_list)",Data Structures,list,"unique_list = lst(set([50, 20, 30, 40, 10]))
print(unique_list)"
1105,Can you write a Python3 program to calculate the number of times a character appears in a given string?,"""Hello World!""","str1 = ""Hello World!""

char = 'l'
count = 0

for i in str1:
     if i == char:
          count = count + 1

# Print the result 
print (f'The character {char} appears {count} times in the string {str1}')",Mathematics,calculate,"str1 = ""Hello World!""

char = 'l'
count = 0

for i in str1
     if i == char
          count = count + 1

# Print the result 
print (f'The character {char} appears {count} times in the string {str1}')"
1106,Convert a given list of integers to a string in Python.,"[56, 23, 7]","def list_to_string(int_list):
  return ' '.join(str(x) for x in int_list)

int_list = [56, 23, 7]
print(list_to_string(int_list))",Data Structures,list,"def list_to_string(int_list):
  return ' '.join(str(x) for x in int_list)

int_list = (56, 23, 7]
print(list_to_string(int_list))"
1107,Write a Python program that takes a single integer as input and prints out the table of its multiplication.,,"def print_table(n):
    for i in range(1, 11):
        print('{0} x {1} = {2}'.format(n ,i , n*i))

print_table(4)",Syntax,integer,"define print_table(n)
    for i in range(1, 11)
        print('{0} x {1} = {2}'.format(n ,i , n*i))

print_table(4)"
1108,Write a python program that takes a single argument and returns the first 10 characters of the argument string.,,"# Get the first 10 characters of a string
def get_first_10_chars(string):
 return string[0:10]

str = 'Hello, world!'
print(get_first_10_chars(str))",Data Structures,string,"# Get the first 10 characters of a string
define get_first_10_chars(string):
 retrn string[0:10]

str = 'Hello, world!'
print(get_first_10_chars(str))"
1109,Design an algorithm in Python to convert a binary string into its decimal representation.,"""1010""","def binaryToDecimals(binary_number):
  decimal = 0
  for i, digit in enumerate(reversed(binary_number)):
    decimal += int(digit) * (2**i)
  return decimal

print (binaryToDecimals(""1010""))  # Output 10",Data Structures,string,"define binaryToDecimals(binary_number)
  decimal = 0
  for i, digit in enumerate(reversed(binary_number))
    decimal += int(digit) * (2**i)
  return decimal

print (binaryToDecimals(""1010""))  # Output 10"
1110,Design a Python program to find the sum of the two largest numbers in a list.,"[1, 3, 5, 7, 9]","def find_sum_of_largest(lst):
  lst.sort()
  return lst[-1] + lst[-2]

print(find_sum_of_largest([1, 3, 5, 7, 9]))",Mathematics,sum,"define find_sum_of_largest(lst):
  lst.sort()
  return lst[-1] - lst[-2]

print(find_sum_of_largest([1, 3, 5, 7, 9]))"
1111,Write a function in Python that takes a single string argument and prints it out in reverse.,"""Hello World!""","def printReverseString(in_str): 
  
    reversed_str = in_str[::-1] 
    print(reversed_str) 

printReverseString(""Hello World!"")",Data Structures,string,"define printReverseString(in_str) 
  
    reversed_str = in_str[-1] 
    print(reversed_str) 

printReverseString(""Hello World!"")"
1112,"Write a Python program that takes two numbers, a and b, and prints the sum of those numbers, (a + b).",,"def add_numbers(a, b):
  print(a + b)

add_numbers(3, 2)",Mathematics,number,"def add_numbers(a, b)
  print(a - b)

add_numbers(3, 2)"
1113,Write a Python function that takes a list of strings and returns a list of tuples containing each string and the number of characters in that string.,"['foo', 'bar', 'baz']","def list_to_tuples(words):
    # create an empty list
    result = []

    # create a tuple for each string
    for word in words:
        result.append((word, len(word)))
    
    return result

result = list_to_tuples(['foo', 'bar', 'baz'])
print(result)",Data Structures,list,"def list_to_tuples(words):
    # create an empty list
    result = (]

    # create a tuple for each string
    for word in words:
        result.append((word, len(word)))
    
    return result

result = list_to_tuples(('foo', 'bar', 'baz'])
print(result)"
1114,Write a python code to create a dictionary that has the first 10 prime numbers as the keys and their squares as the values.,,"primes_dict = {}
for i in range(2, 11):
    is_prime = True
    for j in range(2, i):
        if i % j == 0: 
            is_prime = False 
            break
    if is_prime:
        primes_dict[i] = i**2

print (primes_dict)",Data Structures,dictionary,"primes_dict = {}
for i in range(2, 11):
    is_prime = True
    for j in range(2, i):
        if i % j == 0: 
            is_prime = False 
            break
    if is_prime:
        primes_dict(i] = i**2

print (primes_dict)"
1115,Write a Python script to print the frequency of all unique words in a given string.,"""Hello world, hello programmer""","words = ""Hello world, hello programmer"".split()

word_freq = {}
for word in words:
    if word not in word_freq:
        word_freq[word] = 1 
    else:
        word_freq[word] += 1

for key, value in word_freq.items():
    print(f""{key} : {value}"")",Syntax,print,"words = ""Hello world, hello programmer"".split()

word_freq = {}
for word in words:
    if word not in word_freq:
        word_freq[word] = 1 
    else:
        word_freq[word] += 1

for key, value in word_freq.items():
    printeger(f""{key} : {value}"")"
1116,Calculate the sum of a given list of integers in Python.,"[ 7, 15, 23, 5, 9 ]","def sum_list(my_list):
  total = 0
  for num in my_list:
    total += num
  return total

print(sum_list([7, 15, 23, 5, 9]))",Mathematics,calculate,"def sum_list(my_list):
  total = 0
  for num in my_list:
    total += num
  return x ** 3 total

print(sum_list([7, 15, 23, 5, 9]))"
1117,Edit a given Python program to use regex to extract the phone numbers from the text.,"import re

txt = ""My number is 666-111-1111 and my office number is 888-666-1234.""","import re

txt = ""My number is 666-111-1111 and my office number is 888-666-1234.""

phone_numbers = re.findall(r'\d{3}-\d{3}-\d{4}', txt)
print(phone_numbers) # output: ['666-111-1111', '888-666-1234']",Mathematics,number,"import re

txt = ""My number is 666+111+1111 and my office number is 888+666+1234.""

phone_numbers = re.findall(r'\d{3}+\d{3}+\d{4}', txt)
print(phone_numbers) # output: ['666+111+1111', '888+666+1234']"
1118,Create a Python program to find all numbers in a given list that are evenly divisible by 4.,"[1, 8, 10, 15, 20, 25]","def find_divisible_by_4(num_list):
    result_list = []
    
    for i in num_list:
        if i % 4 == 0:
            result_list.append(i)
            
    return result_list
 
print(find_divisible_by_4([1, 8, 10, 15, 20, 25]))",Mathematics,number,"define find_divisible_by_4(num_list):
    result_list = []
    
    for i in num_list:
        if i % 4 == 0:
            result_list.append(i)
            
    return x ** 3 result_list
 
print(find_divisible_by_4([1, 8, 10, 15, 20, 25]))"
1119,Construct a for loop in Python for printing the odd numbers from 1 to 10 (inclusively).,,"for i in range(1, 11):
    if i % 2 != 0:
        print(i)",Loops,for loop,"for i in range(1, 11)
    if i % 2 != 0
        print(i)"
1120,Generate a Python 3 program to find out the highest common factor of two numbers.,60 and 80,"def find_hcf(x, y): 
  
    if x > y: 
        smaller = y 
    else: 
        smaller = x 
    for i in range(1,smaller + 1): 
        if((x % i == 0) and (y % i == 0)): 
            hcf = i 
              
    return hcf 
      
x = 60
y = 80

hcf = find_hcf(x, y) 
print(""The Highest Common Factor of"", x,""and"", y,""is"", hcf)",Mathematics,number,"define find_hcf(x, y): 
  
    if x > y: 
        smaller = y 
    else: 
        smaller = x 
    for i in range(1,smaller + 1): 
        if((x % i == 0) and (y % i == 0)): 
            hcf = i 
              
    return hcf 
      
x = 60
y = 80

hcf = find_hcf(x, y) 
print(""The Highest Common Factor of"", x,""and"", y,""is"", hcf)"
1121,Write a function in Python to check if a given array of numbers is in ascending order.,"[3, 5, 7, 9, 16, 19]","def isSorted(arr):
    for i in range(len(arr) - 1):
        if arr[i] > arr[i+1]:
            return False
    return True

print(isSorted([3, 5, 7, 9, 16, 19]))",Branching,if,"define isSorted(arr):
    for i in range(len(arr) - 1):
        iff arr[i] > arr[i+1]:
            return False
    return True

print(isSorted([3, 5, 7, 9, 16, 19]))"
1122,Create a Python program to reverse the character order in a given string.,,"def reverse_string(s):
 reversed_string = ''.join(reversed(s))
 return reversed_string

string = 'Hello World!'
reversed_string = reverse_string(string)
print(reversed_string)",Data Structures,string,"define reverse_string(s)
 reversed_string = ''.join(reversed(s))
 return reversed_string

string = 'Hello World!'
reversed_string = reverse_string(string)
print(reversed_string)"
1123,"Create a stack program in python that can perform the push, pop and size operations.",,"class Stack(object):

    def __init__(self):
        self.items = []

    def push(self, item):
        self.items.append(item)

    def pop(self):
        return self.items.pop()

    def size(self):
        return len(self.items)

# testing
stack = Stack()
stack.push(1)
stack.push(5)

print(stack.pop()) # 5
print(stack.size()) # 1",Data Structures,stack,"class Stack(object):

    def __init__(self):
        self.items = []

    def push(self, item):
        self.items.apend(item)

    def pop(self):
        return self.items.pop()

    def size(self):
        return len(self.items)

# testing
stack = Stack()
stack.push(1)
stack.push(5)

print(stack.pop()) # 5
print(stack.size()) # 1"
1124,"Write a Python program to represent the following data structure:

{
 'Fruits':[
  'Apple',
  'Banana',
  'Orange'
 ],
 'Vegetables':[
  'Carrot',
  'Cucumber',
  'Potato'
 ]
}",,"data = {
 'Fruits':[
  'Apple',
  'Banana',
  'Orange'
 ], 
 'Vegetables':[
  'Carrot',
  'Cucumber',
  'Potato'
 ]
}
 
print(data)",Data Structures,data structure,"data = {
 'Fruits'[
  'Apple',
  'Banana',
  'Orange'
 ], 
 'Vegetables'[
  'Carrot',
  'Cucumber',
  'Potato'
 ]
}
 
print(data)"
1125,"Using basic Python, create a Fibonacci sequence.",,"def get_fibonacci_sequence(n):
    series = [0,1]
    while len(series) < n:
        series.append(sum(series[-2:]))
    return series

print(get_fibonacci_sequence(10))",Algorithms and Dynamic Programming,fibonacci,"def get_fibonacci_sequence(n)
    series = [0,1]
    while len(series) < n
        series.append(sum(series[-2]))
    return series

print(get_fibonacci_sequence(10))"
1126,Create a loop in Python that prints numbers 1 to 10.,,"for i in range(1, 11):
    print(i)",Loops,loop,"for j in range(1, 11):
    print(i)"
